PartcipantID:gg
InitialTimeStamp:19-36-41-789
block;trial;clicknumber;Variable;Literal;state;time
1;1;1;1;1;1;1.796608
1;1;2;2;1;1;3.83168
1;1;3;2;1;0;4.888496
1;1;4;2;1;1;5.619682
1;1;5;4;1;1;6.839905
1;1;6;4;1;0;7.428459
1;1;7;4;1;1;8.164375
1;1;8;3;0;1;12.33996
1;1;9;3;1;0;17.97196
1;1;10;3;1;1;19.13972
1;1;11;4;0;0;23.05206
1;1;12;4;0;1;23.63599
1;1;13;2;0;0;27.93188
1;1;14;2;0;1;28.53227
