PartcipantID:ef
InitialTimeStamp:13-32-03-435
block;trial;clicknumber;Variable;Literal;time
1;1;1;1;1;-109.1467
1;1;2;2;0;-108.5781
1;1;3;3;0;-107.9769
1;1;4;1;1;-106.4396
1;1;5;2;1;-105.6874
1;1;6;3;0;-104.9844
1;2;1;4;0;-108.6506
1;2;2;2;0;-107.5644
1;2;3;1;0;-106.8798
1;2;4;3;1;-106.0436
1;3;1;4;0;-108.6011
1;3;2;2;0;-107.3168
