PartcipantID:mn
InitialTimeStamp:13-31-09-143
block;trial;clicknumber;Variable;Literal;time
1;1;1;1;1;-108.7812
1;1;2;3;1;-107.5445
1;1;3;4;1;-106.7258
1;1;4;1;0;-104.754
1;1;5;3;0;-103.9184
1;1;6;4;0;-103.1161
1;2;1;1;0;-108.4781
1;2;2;2;1;-107.7928
1;2;3;3;1;-107.1411
1;2;4;1;1;-106.1017
1;2;5;3;1;-105.5869
1;2;6;4;0;-104.9515
1;2;7;4;0;-104.4834
1;2;8;4;0;-104.0157
1;2;9;4;0;-103.783
