PartcipantID:Yo
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;error
1;1;2;0;1;1;5;
1;2;2;0;1;0;2;
1;3;2;0;1;0;9;
1;4;2;0;1;1;10;
1;5;2;0;1;1;6;
1;6;2;0;1;0;12;
2;1;2;0;1;1;14;
2;2;2;0;1;1;3;
2;3;2;0;1;0;1;
2;4;2;0;1;0;15;
2;5;2;0;1;0;8;
2;6;2;0;1;1;13;
3;1;2;0;1;0;4;
3;2;2;0;1;1;18;
3;3;2;0;1;0;7;
3;4;2;0;1;0;16;
3;5;2;0;1;1;17;
3;6;2;0;1;1;11;
