PartcipantID:kh
InitialTimeStamp:13-27-45-419
block;trial;clicknumber;Variable;Literal;time
1;1;0;1;2;-108.9502
1;1;1;0;4;-107.7466
1;1;2;1;3;-107.0455
1;1;3;1;1;-106.5432
1;1;4;1;4;-105.9091
1;1;5;0;3;-105.2574
1;1;6;0;2;-104.5715
1;2;0;0;1;-109.2465
1;2;1;0;2;-108.643
1;2;2;1;3;-108.1591
1;2;3;1;3;-107.2727
1;2;4;1;3;-106.939
1;2;5;0;4;-106.1708
1;2;6;0;4;-105.9364
1;2;7;0;4;-105.6695
